tweets_record_table.userid,tweets_record_table.lang,tweets_record_table.friendscount,tweets_record_table.location,tweets_record_table.followerscount,tweets_record_table.deviceused,tweets_record_table.retweetcount,tweets_record_table.issensitive,tweets_record_table.isretweet,tweets_record_table.isretweeted,tweets_record_table.postdate,tweets_record_table.text
1927538581,en,316,"NY,NY",3113,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @insyzestyle: Check out the New York Plus Size Bloggers we are following this August ft. @essiegolden_ @KellyAugustineB and @ontheqtrain…
941425168760569857,fr,241,"Bretagne, France",49,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@BBHotels_VC @maxxxchr @dauphine Purée 😯
858529546475159555,in,17,null,55,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@CANDAHAMY belom juga kelar😤
1273751527983919104,en,264,null,328,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@NlXlEPlXlE Good
1276315782314688513,en,545,null,108,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@jikookfiltrs @BTS_twt WE LOVE YOU KIM TAEHYUNG
993668895880855552,en,459,null,77,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@alancross Awesome!
2230156135,en,525,HopeWorld ☀️,614,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @Golden_kku: MIC Drop (cutie.ver) https://t.co/Ao6UqPCy2N
1533372288,ja,131,交換は渋谷新宿or上記イベント会場、郵送不可,95,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @MY_MURMUR: 2014年2月の写真。自分がやってたラジオ番組にゲスト出演して頂いた事も。布石は6年半前に済ませてあったのデス。huhuhuhu... https://t.co/FXob5EWiG0
1361778937,ar,345,Makkah Al Mukarrama,167,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@yumna_ak @News_Ejazah لا تكفى ابغا اداوم
879128434093543425,en,111,null,0,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,"RT @dylanbrady: IPHONE - @Rico_nastyy 

produced by me 📱🎵💙

out now 💿⭐️🌏

https://t.co/K39yvsxJz4 https://t.co/rlVpSSwvQu"
1217498645915815936,und,282,"Lerma, México",501,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @lollipop_sissy: https://t.co/oy4Qmff7f2
1110894695209725952,ar,114,"Amman, Hashemite Kingdom of Jo",26,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@15snafy5611 @myEmptyNest2 @Dr_omarkj يابابا روح طبع مع اليهود محد ماسكك وبس تقابل ربك قله لان الفلسطينين كانوا بتاجروا بالقضية وبسبونا.
1216884772305342469,tr,323,na sua,551,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,MEU DEUS OQ ROLOU????? KSJDKKDKDKDKDKDKKD
924398003766644736,ko,998,TBZ • SKZ • CIX • X1 • DKB,862,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @WE_THE_BOYZ: [선우] 상은 더비꺼ㅎㅎ 더비는 내꺼😎😎😎ㅎㅎㅎ https://t.co/dHqwDEmFOq
1235725962169511937,pt,162,Curvelo e Montes claros uai,80,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @Viihaguiiar_: Se cada pessoa que enxesse meu saco me desse 1 real eu tava de telefone novo já
3240931776,en,279,null,298,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,Best tweet I’ve seen ever
1237961057676726275,es,22,🏠en mi casa donde más ~_~,1,Twitter Web App,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,@VictoriaGatita3 YO quiero mas ya hasta hice RT XD
1281775953241350144,tl,33,null,26,Twitter for iPhone,0,True,False,False,Thu Aug 13 11:21:23 PDT 2020,Pwease join https://t.co/034UiK5Ob8
1080122800990412800,th,149,null,4,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @detarmauverous: ประเทศที่มีข่าวข่มขืนเด็กไม่เว้นแต่ละวัน จับเด็กกร้อนผมให้อับอาย ช่วยความรุนแรงในครอบครัวให้เด็กไม่ได้ นี่น่ะหรอ?
1154255678078377984,fr,189,Guadeloupe,227,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @Taiina_971: Et y’en a qui préfèrent les chats 😔
2730238710,es,2534,(=^.^=)El Salvador( °3^),2064,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,Jajaja se pela el mallestro 😅
996093367489581058,en,1710,null,1095,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,The way you treat your friends
852676193778253824,tl,2924,"Cedie, Ang Kabayo",2304,Twitter for Android,0,False,True,False,Thu Aug 13 11:21:23 PDT 2020,RT @SB19Official: [#SB19_JUSTIN] Okay po hindi ko po kayang linisin ang mga kalat! 🧹 Pahinga na po tayo! Goodnight!  Salamat sa time! 😃
1339855561,en,488,null,55,Twitter Web App,0,False,False,False,Thu Aug 13 11:21:23 PDT 2020,"@colinlfc13 @curtisjr_10 I ordered mine on https://t.co/ubUw1PWcHh today, if you got an account go for it."
1124545152817586178,ja,11,null,3,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,誘ってすぐ遊べないならさそうんじゃあないよ!
788125256619663360,en,3007,null,407,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @matthewamiller: ""The president is blocking the aid you need to survive the economic crisis he created because he is intent on blowing u…"
2620327579,th,728,null,218,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @_bn404: แต่เอาดี ไม่อยากให้แยกเลย 😭 #ปาร์ตี้นรก
1054968632038621186,en,143,In Space,91,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @gothupika: the fact that some weeb gets to work for microsoft, gets paid a lot and is literally just enjoying kurapika's pictures i sen…"
388304898,ja,121,やることがたくさんのひとのよこ,94,twittbot.net,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,よのなかにはなぁ はたらきたくてもはたらけないやつもいるんだよ！
1253902730,es,260,"Toledo, España",448,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @Andrealovelimon: Si fue infiel Pa estar contigo, cuando esté contigo será infiel"
577946074,en,919,null,1051,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @afiqhssn: no more ex, no more next, only love myself."
386589746,es,259,El Roedor Truan,308,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @Javi4Metal: El dolor que siento por las fiestas de este año es brutal
1215985176284557312,ja,609,言ってくれればフォロバします,525,Twitter Web App,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@kurio_Aim codのモチベあげさせて
816629745064382471,en,33,daisies,66,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @KPInfos_: Only 1️⃣ hour until the launch of the #SmileMusicVideo 🤡🎪🎮 https://t.co/rRQ69REyzI
1283927173296992258,ar,43,null,34,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @m10_2019: وينكم يالدوافير اعطونا الحل 🌚 ..؟

 #العام_الدراسي https://t.co/2YfCazmsdT"
1285586189475438594,th,1602,null,77,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @NUMBER54Ml: ในออฟฟิตก็ฟิน https://t.co/vaEtwL42IG
1054815199,ko,154,null,809,twittbot.net,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"인스타그램::_suyeon_420
카스::soccerfam
블로그::https://t.co/jBNnxhELNx
인스타는 팔로하면 바로 맞팔해드립니다!카스도 친구 받아드려요~블로그는 이추부탁드려요!!"
771931999,en,369,aqui y alla ,1093,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,Oh bc I thought a ungrateful mf who I spoiled said something 🤨
1102992103,ar,5804,القصيم,5816,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @_Hala111_: ❁࿐☟❃
⇜✎ 
↴ ✿

♫̴.
↓
* سبحان الله
* الحمد لله
* لا إله إلا الله
* الله أكبرُ
* لاحول ولا قوة إلا بالله

❁࿐🤍 ❃"
760880375748976640,ja,608,日本,538,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,会社の階下でコロナった様なので週末は引きこもります
872111418757177344,th,291,null,259,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @ForPalitLove: แกจำครั้งที่แล้วได้มั้ย แบบที่ปล่อยข่าวทางไลน์ แล้วทุกคนที่ได้รับต่อๆกันเงียบ กลัวว่า เอาออกมาแล้วไม่ดีกะเฮีย มาทุกกลุ่มไ…
1264163420682608650,hi,190,"Agra, India",243,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @sdtiwari: देश की राजधानी दिल्ली के मजलिस पार्क में रह रहे पाकिस्तान से आए हिंदू शरणार्थी भाई बहन को किस हाल में रहना पड़ रहा है देखिये।…
47793913,und,1232,null,33,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @MAMAARIN_: https://t.co/5zQkzt6ajm
865602380775272450,en,229,null,69,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@mikeandallie Trying to order some now
1259981404160622594,in,390,null,16,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@ahmetercanIar Siee
3345743914,en,637,null,1190,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,I legit just walked a mile on this damn base tryna find these damn soldiers when they should’ve been marching to find me damn it
1253430590180712452,tr,16,"Carrara, Toscana",36,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @GoldYapim: Latin gecesine biz hazırız ya siz?🥳
#BayYanlış heyecan dolu yeni bölümüyle yarın akşam 20.00’de #FOX’ta.🙌🏻 @canyaman1989 @ce…"
835957681458397185,pt,1037,null,645,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @FlamengueiroPB: • Pablo Marí
• Jorge Jesus e sua comissão 
• Rafinha ⏳?

A debandada aconteçe aos poucos...

E mais uma vez um projeto…"
1265444351234146308,es,652,– rae is art. *ೃ ,1375,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@itsmendestringz choro 😫
1164927066967400448,ko,1018,🇮🇩,697,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @Yellow_RJ323: ᴛʜᴀɴᴋ ʏᴏᴜ ғᴏʀ ᴄᴏᴍɪɴɢ ᴛᴏ ᴜs
                       ʀᴇɴᴊᴜɴ  𝟺ᴛʜ ᴀɴɴɪᴠᴇʀsᴀʀʏ

런쥔의 데뷔 4주년을 축하하기 위해
인스타그램 광고를 진행합니다

20.08.21…"
2187813733,ja,563,null,432,TweetDeck,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @mocoxmocoxalice: アイカツプラネット💖✨
ハナが可愛いなって気になってる✨

#アイカツプラネット
#aikatsuplanet https://t.co/4zcJKM44gg"
712343346715295744,ko,1232,NeoCity,2126,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @VAV_official: [VAV] 뱀즈, 너를 위해 준비했어...💕
뱀즈랑 빨리 만나고 싶다~😘
VAMPZ, this is just for you…🎁
Wish to see you all soon~!!

#VAV #브이에이브이 #컴백스포
#역…"
3539334673,zh,73,null,10,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@Yan_0304 因为上海人比较排外
1121942480516026369,en,5001,Republic of the Philippines,2555,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @w1cix: Triple Position on SOBA 2020 https://t.co/jDc2HweZxg
1228716361448382465,es,136,null,108,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @Mariabrc_: RT al tinto feliz y te irá bien toda la semana https://t.co/GQKZ5SWmvA
3246954242,ko,1384,ประเทศไทย,295,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @143_525: 200813 탬스타 라이브
#태민 #TAEMIN
https://t.co/F6e5vokIHq

이거 너무 웃겨서 만들어야겠닼ㅋㅋㅋㅋㅋㅋ https://t.co/x3SUqHqQdJ"
707292879455019008,en,866,null,339,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @Yamiche: President Trump just refused to answer question about why he is trying to block mail voting, per White House pool."
1015120707720699904,en,1164,OT7 as always♡,1056,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@BangtanniesFess BTS IS 7
2864937189,ja,58,愛知県 春日井市,16,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @DQWalk: ＼ #はぐメタ激写チャレンジ9日目 ／
100名様に1,000円分の
Amazonギフトコードが当たる！

【参加方法】
①「@DQWalk」をフォロー
②このツイートをRT
③当選結果がリプライで届く

イベント詳細
https://t.co/pkkR…"
3054471649,es,140,"San Bernardo, Chile",8,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@AFPModelocl Todavía espero mi dinero hoy es su último plazo....
945055582326743040,ja,1623,日本,7093,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@kurukyoma_ ありがとぉー(´˘`๑)

そそd(≧▽≦*)
永遠の20歳❕"
1260445832077283328,ja,17,null,5,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@sora02010204 同じコースになったら
神の御加護だよw

ゆみかも早い！！！

6番手が推しとか
私のこと殺しにかかてる。

だけど1組2組は
足が早い！！！"
1075077850494001152,in,2509,‎❐ 𝑐﮳𝘰𝘴𝘮𝘪𝘤 。𝟫𝟩 !,2472,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@subtanyarl syp blg, tuh plg banyak meme && foto jaehyun jeno"
1112952320818479104,en,153,King's Canyon 🔄 World's Edge,42,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @EquilibriumStr1: 🎉Promo Time 🎉

You know the drill beautiful people😊 lets smash 200 twitch follows

1. Like & Retweet 
2. Comment your…"
1229041098095546369,ar,1285,null,1556,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@7rvzq @qijx3 تم
830050142195683328,pt,960,mundinho girafa br,1123,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@ariperlingeiro KKKKKKKKKKKKKK FUDEU
1260747428954730496,ko,113,null,0,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @km1108mh: 자막 애썼다..무지개빔 맞으면서 고생했음ㅠㅠ https://t.co/eTYfvqY0V0
1227875467044122624,hi,451,Smart City Mrj.... Up,812,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@OceanJain4 अपने भारत के विद्यार्थियों में टैलेंट की कमी थोड़ी - ही है ...!!😂😂😂
2770041228,ja,1625,I aim at the fantasy volost.,438,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@kakosandayo 私もそう思うます
975609384,in,58,Indonesia,65,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @gowjek: [MEMILIKI 2000 KEPRIBADIAN AKIBAT TRAUMA DIPERKOSA SELAMA 7 TAHUN]

A Thread https://t.co/bdtZfvDjYe"
1163949638254116864,th,194,null,64,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@fafaphone__ โฟนคะ ของเราไม่มี รอดตัวไป 5555555555555555555555555555555555555555
1293200345158410243,en,33,null,5,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @ShekharGupta: Against the 1000 questions TV news had after Sushant Singh’s death, we have just six

ThePrint's @shailajabajpai writes i…"
551447224,en,702,null,11467,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@invtble @forgcmez @PopCrave No UAE does not have conflict, palestine stays losing"
843473593807835137,en,101,dying on first hook.,151,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@Boobles_23 @RandomSkrubx RUDE
4760843473,en,6825,United States,6201,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"Trump adds coronavirus adviser who echoes his unscientific claims

https://t.co/MpEZsQIuLr"
1266025517796536321,und,73,"Queens, NY",42,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@adrianasan_v @fernandeznorona Yo
843770366442921984,en,1143,"kuala lumpur,malaysia",348,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @taebokkiii: but can we also discuss taehyung's look and outfit here 👉👈 https://t.co/7xWCnwCp7u
737131621,en,1069,South Africa,2267,Twitter Web App,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @Tshepiso_Says: Generational curses go beyond poverty. It’s elders dictating your path, it’s staying in bad marriages, it’s rejection fo…"
745995279049043968,uk,1115,к(иїв)ононівські поля,1020,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"Ніхто: 
Абсолютно ніхто: 
велосипедист, який ледь на мене не наїхав: класна сумка!"
1293639102,en,1163,Isaiah 41:10,478,Twitter for iPhone,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,"RT @TheMelaLee: I wanna do more, too 🖤💚
#JadeMK11"
1118437187224264704,ar,473,"Yemen, Sana’a",142,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@pri4vt ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه وين الحلوين دلووني عليهم ماعرف احد حلو
1030935455850803202,es,120,null,159,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,que bajon que haya gente q en 2020 crea todavia en esto
3148720050,es,260,null,117,Twitter Web App,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@Damihibibere 😅 no se bien lo de la parroquia; me sacaste una carcajada con lo del billete. Gracias, es un deleite poder leerte con alegría austera, la carcajada es pilón 😅"
1232067350960185344,en,813,null,348,Twitter Web App,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@LaurenWitzkeDE @WAKEUP58060476 @JoeBiden Destruction of traditional white Christian family is their only purpose.
1013772547,pt,304,"São Luís, Brasil",549,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,meu namorado ja vou 10 vezes cada história que ja contei pra ele
764567823620382720,pt,1317,null,966,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,4 e 2 mt mtttt confortável
1291369637666463746,ko,247,엓7 신탁임,239,Twitter for Android,0,False,True,False,Thu Aug 13 09:39:23 PDT 2020,RT @YJWIFErda: 사연에 투바투에 대한 사랑을 큰 함성으로 답하겠다고 했는데... 그래서 안 뽑혔구나
1176789017288855552,ko,77,ガルグーマク大修道院,183,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"이좨
없어...(누가알티햣으"
1245546387099525120,en,1328,null,1217,Twitter for iPhone,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"@Tyspeakstruth Who cares about her opinion? Didn’t she use to drug men and steal from them? She would feel secure because Biden protects criminals. When I want her opinion, I’ll go down to the brothel and ask her."
846004436698845184,pt,1725,🌿    hyuck    𝟶𝟶    ,1155,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@doyooungf Garota chora https://t.co/4aHw4q5r98
3377239961,und,118,"Morristown, NJ",77,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,@realDonaldTrump https://t.co/qubIveeOkL
1247631593960869889,es,664,null,370,Twitter for Android,0,False,False,False,Thu Aug 13 09:39:23 PDT 2020,"10 moots para apoyar a Hobi. !
#방탄소년단제이홉 #JHOPE #제이홉
#정호석 #호비 
@BTS_twt 
@Mochim0402 
@love_maz4 
@BangdiseJK 
@Khaterine52 
@YoselinvXD2 
@NathBangtan__ 
@pjminie_jazz 
@Soulmate_1997 
@Stxxgma 
@BanBan_Moon https://t.co/qTanOd40kL"
1263433116544163843,ja,6,null,3,Twitter for iPhone,0,False,False,False,Thu Aug 13 11:21:20 PDT 2020,ええええええ！！！！！！w #水溜りボンドANN0
1067556834310057985,pt,746,jichu 🎨,1617,Twitter for Android,0,False,False,False,Thu Aug 13 11:21:20 PDT 2020,td vez q aparece o pai dela eu choro ??
25110775,en,1156,"Noblesville, Indiana",367,Twitter for iPhone,0,False,True,False,Thu Aug 13 11:21:20 PDT 2020,"RT @drdavidsamadi: Yes, there WAS a COVID-19 pandemic when there was a very high death rate &  overcrowding of ICUs.

Now, we are dealing w…"
